Label,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50
k,1683.051362651448,1737.1780144657737,1960.6848353526411,2231.818109683523,2606.204535050508,2942.214789269692,3187.722281563769,3239.973876155889,3093.719412823877,2872.8376720480974,2626.3301492355117,2256.9438764610736,1979.935422833949,1736.3029877620777,1674.5511032441177,1737.1780144657737,1961.184850611896,2299.4451734977265,2705.0825525681325,3052.468153935362,3242.598956266976,3249.0991546372875,3046.9679860835595,2723.9581286049997,2371.572374645222,1988.6856898709068,1726.677694021424,1683.5513779107027,1769.6790063173316,2040.8122806482131,2376.57252723777,2760.209234900967,3010.9668874172185,3230.223578600421,3245.974059266945,3052.2181463057345,2687.0820032349625,2355.821893978698,1969.8101138340403,1753.8035218359937,1682.4263435773796,1728.0527359843743,1856.3066499832148,1886.1825617236852,1797.5548570207832,1713.8023010956144,1698.6768395031586,1701.301919614246,1716.8023926511428,1765.928891872921
l,2118.4396496475115,2623.705069124424,2952.4651020844144,2997.7164830469683,3127.4704428235727,3218.97323526719,3262.0995513779103,3284.475234229561,3298.350657673879,3310.351023895993,3310.476027710806,3278.3500473036893,3212.848048341319,3260.5995056001466,3226.3484603411976,3234.8487197485274,3275.97497482223,3240.723899044771,3267.84972685934,3303.4758140812405,3284.475234229561,3321.851374858852,3301.975768303476,3259.599475081637,3276.9750053407392,3192.3474227118745,3154.346263008515,3202.722739341411,3263.9746086001164,3265.4746543778806,3204.8478041932435,3169.2217169713435,3156.22132023072,3178.471999267556,3074.218817712943,3001.5916013061924,3015.3420209356977,3006.3417462691123,3000.216559343242,2986.4661397137365,2980.4659566026794,2842.2117374187446,2777.709768974883,2763.084322641682,2836.836573381756,2865.337443159276,2869.837580492569,2774.0846583452867,2770.834559160131,2853.5870845667896
m,2228.443006683553,1818.305490279855,1785.4294869838557,1749.678395947142,1767.5539414654988,1816.180425428022,1770.4290292062135,1790.8046510208442,1748.053346354564,1761.4287545396282,1740.8031250953704,1751.9284646137885,1752.1784722434154,1786.9295327616198,1772.4290902432324,1746.6783043916137,1751.8034607989748,1754.5535447248758,1754.1785332804343,1757.3036286507763,1754.9285561693166,1754.6785485396897,1757.4286324655905,1766.9289223914304,1787.3045442060609,1773.429120761742,1771.1790520950956,1780.3043305764947,1789.4296090578937,1793.5547349467454,1783.304422132023,1834.6809900204476,1806.4301278725547,1824.055665761284,1786.554521317179,1782.429395428327,1798.6798913541063,1835.5560167241435,1881.182409131138,1973.310220648824,1921.9336527603991,2025.8118228705707,2129.0649739066744,2357.321939756462,2365.197180089724,2304.1953184606464,2238.6933194982757,2167.566148869289,2152.3156834620195,2169.4412060914947
n,2583.328836939604,3181.8471022675253,3125.8453932309944,3086.3441877498703,3186.4722434156315,3152.2211981566816,3102.3446760460224,3069.9686880092777,3046.592974639119,2993.841364787744,2974.215765861996,3094.0944242683186,3066.343577379681,3031.342509231849,3241.473921933653,3307.975951414533,3303.350810266427,3351.3522751548817,3348.4771874141666,3365.727713858455,3361.102572710349,3358.477492599261,3370.7278664510027,3373.2279427472763,3379.6031373027745,3374.602984710227,3373.35294656209,3375.4780114139226,3375.72801904355,3375.853022858364,3369.727835932493,3348.3521835993533,3253.5992919705805,3047.4680013428147,2966.340525528733,2918.339060640278,2973.590746787927,2841.9617297891173,2638.2055116428114,2626.080141605884,2653.330973235267,2668.206427198096,2685.081942197943,2687.957029938658,2639.3305459761345,2587.0789513840145,2589.579027680288,2720.9580370494705,2628.705221716972,2444.949613940855
o,1705.1770378734702,1676.5511642811366,1792.9297158726768,1859.5567491683703,1895.4328440198983,1862.556840723899,1817.180455946532,1769.3039948728904,2005.811212500381,2125.4398632770776,2151.565660573138,2071.1882076479383,1973.935239722892,2070.938200018312,2130.565019684439,2069.688161870174,2193.1919309060945,2145.440473647267,2115.189550462356,2086.9386883144625,2088.313730277413,2262.319040498062,2384.572771385846,2306.445387127293,2265.694143498032,2280.819605090487,2430.8241828669093,2561.953184606464,2630.330271309549,2540.952543717765,2483.825800347911,2535.202368236335,2634.3303933835878,2643.5806756798,2567.328348643452,2691.957152012696,2627.205175939207,2562.7032074953463,2564.5782647175515,2547.2027344584485,2462.825159459212,2558.328073976867,2483.325785088656,2419.6988433484908,2379.5726187932983,2536.077394940031,2659.8311716055787,2647.33079012421,2635.08041627247,2589.954039124729
p,3134.095645008698,2630.70528275399,2101.189123203223,2130.440015869625,1941.434247871334,1863.3068636127807,1915.0584429456464,1832.05590990936,1800.9299600207528,1750.3034150212104,1798.6798913541063,1813.1803338724935,1770.679036835841,1747.8033387249368,1721.8025452436905,1731.3028351695302,1731.1778313547163,1743.4282052064575,1768.5539719840085,1820.9305703909424,1787.9295632801295,1880.057374797815,1950.6845301675469,1915.1834467604604,1953.3096102786335,2096.938993499557,2015.8115176854765,1941.9342631305888,1939.434186834315,1912.933378093814,1996.185918759728,2010.8113650929288,1953.809625537889,1925.8087710196237,2052.937650685141,2025.8118228705707,2046.4374523148288,1984.5605639820549,1974.0602435377057,2071.313211462752,2071.688222907193,2116.8146000549336,2067.813104647969,2227.692983794672,2376.822534867397,2377.1975463118383,2374.5724662007506,2253.3187658314764,2347.6966460158083,2298.945158238472
q,2799.085421308024,2989.716238898892,3118.22016052736,3243.9739982299266,3257.5994140446187,3209.8479567857903,3218.348216193121,3217.8482009338663,3260.849513229774,3270.4748069704274,3329.4766075624866,3277.600024414808,3275.849971007416,3310.1010162663656,3305.1008636738184,3317.351237525559,3308.475966673788,3311.60106204413,3273.7249061555835,3270.9748222296826,3293.4755088961456,3184.097170934172,3050.843104342784,2947.589953306681,2858.8372447889647,2801.835505233925,2738.7085787530136,2679.831781975768,2627.205175939207,2528.077150791956,2337.3213293862727,2051.4376049073767,1890.0576799829096,1815.3053987243263,1785.1794793542283,1778.4292733542895,1756.0535905026395,1758.5536667989134,1745.303262428663,1777.5542466505935,1887.6826075014496,1943.1843012787256,1995.0608844264043,2000.061037018952,1988.4356822412797,2035.93713187048,2185.0666829432053,2171.3162633137,2370.3223364970854,2555.0779747917118
r,3217.4731894894253,3218.723227637562,3138.095767082736,3154.721274452956,3098.2195501571705,3104.719748527482,3038.592730491043,2861.212317270424,2631.955320902127,2553.32792138432,2051.8126163518177,1887.6826075014496,1957.0597247230448,1901.6830347605824,1835.306009094516,1815.3053987243263,1809.680227057711,1843.6812646870328,1842.5562303537092,1810.9302652058475,1766.5539109469892,1758.1786553544723,1764.1788384655292,1768.1789605395672,1809.430219428083,1796.42982268746,2037.4371776482435,1990.560747093112,2160.065919980468,2269.444257942442,2199.067110202337,2341.196447645497,2300.070192571796,2365.572191534165,2483.325785088656,2593.8291573839533,2737.208532975249,2743.0837122714925,2765.3343913083286,2691.7071443830687,2809.2107303079315,2791.83520004883,2745.5837885677665,2752.208990752892,2819.836054567095,2991.466292306284,3077.3439130832853,3166.096621601001,3258.9744560075687,3376.8530533768726
s,3105.844782860805,2028.6869106112852,1933.3089999084443,1899.057954649495,1792.804712057863,1774.4291512802515,1772.5540940580463,1769.3039948728904,1772.179082613605,2020.1866512039555,2040.8122806482131,2159.315897091586,2226.9429609057893,2229.443037202063,2344.8215582750936,2378.9475997192294,2300.6952116458638,2295.8200628681293,2233.1931516464742,2356.0719016083253,2336.5713064973907,2494.826136051516,2552.5778984954377,2640.330576494644,2820.961088900418,2851.7120273445844,2902.8385876033817,2927.339335306864,2899.463484603412,3049.4680623798336,3222.0983306375315,3307.4759361552783,3338.6018860438858,3338.226874599445,3365.852717673269,3375.3530075991084,3351.602282784509,3356.9774468214973,3362.727622302926,3393.35355693228,3391.978514969329,3338.226874599445,3322.6013977477346,3381.1031830805387,3358.2274849696346,3330.476638080996,3268.974761192663,3199.0976287118137,3123.845332193976,3212.598040711692
t,2524.077028717917,1898.6829432050536,1780.179326761681,1750.1784112063965,1746.5533005767998,1751.5534531693472,1750.5534226508378,1777.1792352061527,1792.054689168981,1822.180608539079,1823.305642872402,1832.805932798242,1877.307290871914,1919.8085879085668,1970.060121463668,1963.9349345377973,1939.809198278756,2039.3122348704487,2111.189428388317,2136.0651875362405,2210.567461165197,2290.569902645955,2223.56785790582,2154.815759758293,2220.067751091037,2193.1919309060945,2144.815454573199,2162.440992461928,2266.9441816461685,2298.445142979217,2399.448225348674,2498.2012390514847,2599.454329050569,2665.0813318277537,2605.2045045319987,2604.329477828303,2497.3262123477894,2528.3271584215827,2605.704519791253,2524.077028717917,2532.3272804956205,2450.4497817926576,2412.323618274484,2348.946684163945,2504.576433606983,2474.450514236885,2528.202154606769,2732.333384197516,2837.4615924558248,2744.208746604816
u,3409.729056672872,3206.09784234138,2888.7131565294358,2827.0862758262883,2909.0887783440658,2944.964873195593,2949.715018158513,2752.3339945677053,2754.209051789911,2849.3369548631244,2813.9608752708514,2699.832392345958,2658.581133457442,2803.210547196875,2890.58821375164,2998.0914944914093,2993.091341898861,2885.213049714652,2892.4632709738453,2842.086733603931,2604.5794854579303,2660.20618305002,2574.8285775322734,2406.948454237495,2423.6989654225285,2316.570696127201,2382.822717978454,2232.0681173131507,2234.5681936094243,2146.940519425031,2035.93713187048,2102.4391613513594,2172.066286202582,2192.3169042023987,2069.563158055361,1988.9356975005344,1938.6841639454328,1875.4322336497085,1903.1830805383463,1954.059633167516,2035.437116611225,2121.564745017853,2051.187597277749,2016.5615405743583,2103.4391918698693,2175.8164006469924,2052.937650685141,2001.8110904263435,1932.8089846491896,1890.682699056978
v,2526.20209356975,3128.220465712455,3438.47993408002,3497.6067384868925,3499.4817957090977,3510.3571275978884,3518.732383190405,3475.7310708944974,3433.7297891171,3189.347331156346,3091.969359416486,3033.0925626392404,3071.218726157414,3072.593768120365,3078.5939512314217,3110.8449354533523,3111.9699697866754,3068.7186498611404,3075.2188482314523,3084.96914578692,3077.218909268472,3031.9675283059173,3038.3427228614155,2913.9639271217998,2859.2122562334057,2842.586748863186,2937.3396404919586,2887.4631183812985,2822.086123233741,2813.335856196783,2676.331675160985,2752.5840021973327,2677.956724753564,2597.7042756431774,2588.829004791406,2447.949705496384,2448.82473220008,2413.698660237434,2449.449751274148,2482.07574694052,2441.6995147556995,2457.574999237037,2227.692983794672,2196.0670186468096,2307.4454176458025,2436.949369792779,2579.578722495193,2436.574358348338,2383.197729422895,2396.1981261635183
w,1483.6702780236212,2685.956968901639,2853.4620807519764,2838.961638233589,2897.963438825648,3017.842097231972,3081.719046601764,3071.0937223426013,3030.092471083713,3128.220465712455,3146.471022675252,3163.8465529343557,3172.971831415753,3195.0975066377764,3233.22367015595,3238.4738303781246,3213.2230597857606,3197.2225714896085,3183.34714804529,3181.8471022675253,3197.722586748863,3238.223822748497,3215.59813226722,3187.847285378581,3226.973479415265,3213.5980712302016,3192.8474379711297,3130.2205267494737,3121.5952635273293,3162.9715262306586,3180.722067934202,3175.0968962675865,3171.596789452803,3140.345835749382,3110.7199316385386,3210.722983489487,3223.848384044923,3264.349620044557,3212.098025452437,3246.7240821558275,3312.851100192266,3318.1012604144416,3322.6013977477346,3311.726065858944,3294.475539414655,3339.8519241920226,3337.976866969817,3345.85210730308,3325.9765007477035,3296.9756157109287
x,3199.847651600696,2682.831873531297,2447.449690237129,2196.192022461623,2029.3119296853545,2006.686239204077,2052.8126468703267,1882.182439649648,1875.682241279336,1822.55561998352,1809.180211798456,1826.1807306131168,1701.1769157994322,1801.9299905392625,1939.3091830195012,1884.30750450148,1896.3078707235936,1963.6849269081697,2068.9381389812925,2033.937070833461,2160.5659352397224,2177.191442609943,2079.813470870083,2159.690908536027,2039.937253944517,2153.815729239784,2436.3243507187112,2526.077089754937,2718.582964568011,2783.3349406414995,2774.0846583452867,2750.4589373455,2916.33899960326,3053.218176824244,3059.5933713797417,3027.217383342997,3001.8416089358197,3020.0921658986176,2944.4648579363384,2962.340403454695,2953.840144047365,3069.093661305582,3188.4723044526504,3282.225165562914,3347.2271492660298,3367.22775963622,3393.35355693228,3414.479201635792,3406.8539689321574,3392.3535264137704
y,2922.9642017883843,2623.4550614947966,2201.442182683798,2298.1951353495897,2412.948637348552,2253.3187658314764,2197.067049165319,2191.3168736838893,2236.318247016816,2299.695181127354,2335.321268349254,2319.57078768273,2373.822443311869,2390.3229468672757,2270.694296090579,2170.691244239632,2095.4389477217937,1940.309213538011,1890.9327066866056,1812.5553147984251,1806.5551316873684,1942.4342783898437,1982.6855067598497,2009.561326944792,2006.1862239448224,2055.6877346110414,2040.3122653889584,2133.565111239968,2068.313119907224,2097.439008758812,2299.320169682913,2313.8206122013003,2305.070345164342,2432.324228644673,2393.4480422376173,2393.948057496872,2371.1973632007816,2408.8235114597005,2311.8205511642814,2214.06756797998,2264.6941129795223,2202.067201757866,2098.1890316476943,2536.3274025696587,2638.83053071688,2714.2078310495317,2645.080721457564,2637.9555040131845,2578.4536881618696,2530.452223273416
z,3080.969023712882,3286.9753105258337,3329.851619006928,3276.8500015259256,3284.600238044374,3254.474318674276,3248.349131748406,3228.0985137485886,3212.598040711692,3120.9702444532604,3010.9668874172185,2821.9611194189274,2629.5802484206674,2696.7072969756155,2736.3335062715537,2733.333414716025,2739.58360545671,2687.5820184942168,2742.083681752983,2782.459913937804,2771.459578234199,2823.7111728263194,2828.711325418866,2860.71230201117,2917.589037751396,2812.5858333079013,2815.210913418989,2636.2054506057925,2560.0781273842586,2662.706259346294,2538.8274788659323,2638.330515457625,2674.45661793878,2686.4569841608936,2728.2082583086644,2647.580797753837,2668.331431012909,2649.830866420484,2729.458296456801,2790.960173345134,2620.4549699392683,2696.7072969756155,2611.70470290231,2594.5791802728354,2662.206244087039,2700.957426679281,2672.206549272133,2652.205938901944,2687.4570146794026,2718.832972197638
0,2119.189672536393,1788.4295785393842,1801.0549638355662,1938.0591448713644,1834.1809747611928,1821.055574205756,1816.930448316904,2010.18634601886,2327.696035645619,2273.5693838312936,2377.57255775628,2394.948088015381,2387.6978667561875,2406.948454237495,2592.70412305063,2737.208532975249,3007.7167882320628,2973.215735343486,2938.589678640095,3093.5944090090643,3155.9713126010924,3194.722495193335,3108.094851527452,3074.9688406018254,3098.0945463423564,3098.9695730460526,3175.346903897214,3163.0965300454727,3134.095645008698,3105.844782860805,3081.9690542313915,3128.345469527268,3097.594531083102,3114.0950346385084,3134.2206488235115,3191.222388378552,3190.9723807489245,3224.348399304178,3251.3492233039337,3261.7245399334697,3273.7249061555835,3276.599993896298,3281.600146488845,3288.225348673971,3295.7255775627923,3301.6007568590358,3287.975341044343,3323.851435895871,3383.228247932371,3410.604083376568
1,2998.0914944914093,2624.58009582812,2700.8324228644674,2683.95690786462,2607.829584643086,2601.704397717215,2569.2034058656573,2386.822840052492,2355.321878719443,2141.940366832484,2058.312814722129,2043.4373607593009,2027.5618762779625,1935.1840571306495,1843.8062685018465,1817.3054597613452,1771.054048280282,1768.1789605395672,1772.0540787987916,1781.3043610950042,1803.1800286873988,1792.5547044282357,1763.4288155766474,1763.0538041322063,1804.805078279977,1807.3051545762503,1772.4290902432324,1869.6820581682791,1959.184789574877,2123.5648060548724,2155.6907864619893,2069.938169499802,2016.061525315104,1999.0610065004423,1987.060640278329,1998.8109988708152,2055.562730796228,2018.6866054261911,2138.190252388073,2093.4388866847744,2241.443403424177,2265.069124423964,2178.3164769432665,2300.070192571796,2218.5677053132727,2307.320413830989,2362.3220923490094,2276.3194677571946,2185.441694387646,2102.6891689809872
2,2667.8314157536543,3399.353740043336,3309.8510086367387,3322.226386303293,3363.727652821436,3378.603106784265,3269.0997650074773,3258.3494369335,3162.096499526963,3074.0938138981287,2984.4660786767176,2988.0911893063144,3039.2177495651117,2941.2147587511827,2972.465712454604,3038.7177343058565,3006.0917386394854,3032.967558824427,2967.4655598620566,2973.4657429731133,2837.711600085452,2810.2107608264414,2817.9609973448896,2754.709067049165,2837.2115848261974,2867.8375194555497,2803.460554826502,2829.83635975219,2898.4634540849024,2885.8380687887206,2728.458265938292,2804.960600604267,2833.211462752159,2822.711142307809,2875.3377483443705,2827.46128727073,2668.456434827723,2625.0801110873745,2599.704336680197,2375.8225043488874,2207.3173619800414,2292.5699636829736,2293.319986571856,2244.6935026093324,2251.1937009796443,2180.5665456099123,2085.6886501663257,2039.187231055635,2016.9365520187996,2002.3111056855985
3,1777.804254280221,2738.4585711233863,2923.3392132328254,3020.2171697134318,2994.4663838618126,3053.593188268685,3121.9702749717703,3100.719626453444,3145.971007415998,3155.346293527024,3196.722556230354,3293.9755241554,3291.9754631183814,3307.225928525651,3297.100619525743,3301.8507644886627,3346.852137821589,3362.227607043672,3363.85265663625,3349.2272103030487,3341.2269661549726,3346.977141636403,3345.602099673452,3360.4775536362804,3347.7271645252845,3314.6011535996586,3243.723990600299,3238.4738303781246,3200.597674489577,3116.095095675528,3161.846491897336,3196.3475447859128,3252.974272896512,3222.7233497116,3273.849909970397,3292.850489822077,3294.350535599841,3236.4737693411057,3233.973693044832,3172.221808526871,3210.722983489487,3125.4703817865534,3176.096926786096,3194.9725028229623,3179.7220374156927,3231.473616748558,3256.2243720816678,3289.475386822108,3307.975951414533,3296.600604266488
4,2759.709219641713,2053.187658314768,2076.563371684927,2092.3138523514517,2011.3113803521835,1989.310708944975,2029.6869411297955,2098.689046906949,1974.0602435377057,1967.685048982208,1768.303964354381,1763.1788079470198,1770.4290292062135,1793.9297463911862,1810.1802423169647,1894.057802056948,1966.435010834071,2010.436353648488,2173.0663167210914,2248.0686056093023,2415.073702200385,2610.204657124546,2687.5820184942168,2713.9578234199043,2764.209356975005,2758.2091738639483,2921.4641560106206,2841.2117069002347,2956.840235602893,2869.587572862941,2850.9620044557023,2950.4650410473955,2944.4648579363384,2867.5875118259223,2771.209570604572,2680.456801049837,2832.5864436780907,2830.211371196631,2948.464980010376,3071.9687490462966,3078.5939512314217,3031.217505417035,3041.967833491012,3171.47178563799,3138.3457747123634,3076.3438825647754,3155.9713126010924,3255.474349192785,3284.7252418591875,3324.47645496994
